token,linked_form
Q3900,L19227-F32
Q66581,L25938-F4
Q21717,L22329-F415
Q5982,L19810-F10
Q44713,L25938-F4
Q66172,L21184-F161
Q56083,L25938-F4
Q70598,L22180-F4
Q14614,L21001-F382
Q31521,L24922-F55
Q18912,L21184-F19
Q2894,L19029-F24
Q8015,L20212-F175
Q7465,L20035-F465
Q14368,L21001-F490
Q58200,L23818-F4
Q63558,L22888-F55
Q34505,L25938-F24
Q56070,L25938-F4
Q36563,L24985-F1
Q10468,L20425-F178
Q66101,L24268-F4
Q48956,L25938-F108
Q1543,L18820-F115
Q34534,L24268-F4
Q51339,L25938-F4
Q12281,L20927-F1
Q10093,L20353-F321
Q18686,L25938-F24
Q69990,L25837-F175
