flexeme	lexeme	lila_lemma	wikibase_entry
i1595_5792	i1595	107702	L5486
i1595_5793	i1595	107702	L5487
i1596_5794	i1596	107703	L5488
i1598_5795	i1598	107705	L5489
i1602_5796	i1602	107709	L5490
i1607_5797	i1607	107714	L5491
i1613_5798	i1613	107720	L5492
i1614_5799	i1614	107721	L5493
i1615_5800	i1615	107722	L5494
i1617_5801	i1617	107724	L5495
i1620_5802	i1620	107727	L5496
i1628_5803	i1628	107735	L5497
i1629_5804	i1629	107736	L5498
i1640_5805	i1640	107748	L5499
i1642_5806	i1642	107750	L5500
i1644_5807	i1644	107753	L5501
i1648_5808	i1648	107757	L5502
i1648_5809	i1648	107757	L5503
i1649_5810	i1649	107758	L5504
i1649_5811	i1649	107758	L5505
i1650_5813	i1650	107759	L5506
i1651_5814	i1651	107760	L5507
i1652_5815	i1652	107761	L5508
i1653_5816	i1653	107762	L5509
i1662_5817	i1662	107771	L5510
i1667_5818	i1667	107776	L5511
i1668_5819	i1668	107777	L5512
i1670_5820	i1670	107779	L5513
i1671_5821	i1671	107780	L5514
i1672_5822	i1672	107781	L5515
i1676_5823	i1676	107785	L5516
i1676_5824	i1676	107785	L5517
i1678_5825	i1678	107787	L5518
i1679_5826	i1679	107788	L5519
i1680_5827	i1680	107789	L5520
i1681_5828	i1681	107790	L5521
i1683_5829	i1683	107792	L5522
i1692_5830	i1692	107802	L5523
i1695_5831	i1695	107805	L5524
i1696_5832	i1696	107806	L5525
i1699_5833	i1699	107809	L5526
i1699_5834	i1699	107809	L5527
i1702_5835	i1702	107812	L5528
i1708_5836	i1708	107818	L5529
i1708_5837	i1708	107818	L5530
i1709_5838	i1709	107819	L5531
i1711_5839	i1711	107821	L5532
i1712_5840	i1712	107822	L5533
i1712_5841	i1712	107822	L5534
i1714_5842	i1714	107824	L5535
i1719_5843	i1719	107830	L5536
i1721_5844	i1721	107832	L5537
i1727_5845	i1727	107838	L5538
i1728_5846	i1728	107839	L5539
i1729_5847	i1729	107840	L5540
i1730_5848	i1730	107841	L5541
i1732_5849	i1732	107843	L5542
i1734_5850	i1734	107845	L5543
i1735_5851	i1735	107846	L5544
i1736_5852	i1736	107847	L5545
i1739_5853	i1739	107850	L5546
i1746_5854	i1746	107858	L5547
i1747_5855	i1747	107859	L5548
i1747_sc_5856	i1747_sc	107860	L5549
i1748_5857	i1748	107861	L5550
i1757_5858	i1757	107871	L5551
i1759_5859	i1759	107873	L5552
i1759_5860	i1759	107873	L5553
i1759_5861	i1759	107873	L5554
i1763_5863	i1763	107877	L5555
i1764_5864	i1764	107878	L5556
i1766_5865	i1766	107880	L5557
i1781_5866	i1781	107895	L5558
i1788_5867	i1788	107902	L5559
i1790_5868	i1790	107904	L5560
i1797_5869	i1797	107911	L5561
i1800_5870	i1800	107915	L5562
i1803_5871	i1803	107918	L5563
i1808_5872	i1808	107924	L5564
i1812_5873	i1812	107928	L5565
i1813_5874	i1813	107929	L5566
i1815_5875	i1815	107931	L5567
i1816_5876	i1816	107932	L5568
i1818_5877	i1818	107934	L5569
i1819_5878	i1819	107935	L5570
i1820_5879	i1820	107936	L5571
i1821_5881	i1821	107937	L5572
i1826_5882	i1826	107942	L5573
i1830_5883	i1830	107946	L5574
i1830_5884	i1830	107946	L5575
i1833_5885	i1833	107949	L5576
i1835_5886	i1835	107951	L5577
i1839_5887	i1839	107956	L5578
i1842_5888	i1842	107959	L5579
i1851_5889	i1851	107969	L5580
i1854_5890	i1854	107973	L5581
i1854_5891	i1854	107973	L5582
i1856_5892	i1856	107975	L5583
i1859_5893	i1859	107978	L5584
i1872_5894	i1872	107991	L5585
i1875_5895	i1875	107994	L5586
i1876_5896	i1876	107995	L5587
i1877_5897	i1877	107996	L5588
i1882_5898	i1882	108001	L5589
i1885_5899	i1885	108004	L5590
i1886_5900	i1886	108005	L5591
i1908_5901	i1908	108027	L5592
i1909_5902	i1909	108028	L5593
i1914_5903	i1914	108033	L5594
i1919_5904	i1919	108039	L5595
i1926_5905	i1926	108048	L5596
i1926_5906	i1926	108048	L5597
i1927_5907	i1927	108049	L5598
i1928_5908	i1928	108050	L5599
i1928_5909	i1928	108050	L5600
i1933_5911	i1933	108055	L5601
i1933_5912	i1933	108055	L5602
i1933_5913	i1933	108055	L5603
i1933_5914	i1933	108055	L5604
i1935_5915	i1935	108057	L5605
i1941_5916	i1941	108063	L5606
i1941_5917	i1941	108063	L5607
i1944_5918	i1944	108066	L5608
i1945_5919	i1945	108067	L5609
i1955_5920	i1955	108077	L5610
i1956_5921	i1956	108078	L5611
i1959_5922	i1959	108081	L5612
i1965_5923	i1965	108087	L5613
i1965_5924	i1965	108087	L5614
i1970_5926	i1970	108092	L5615
i1973_5927	i1973	108095	L5616
i1973_5928	i1973	108095	L5617
i1974_5929	i1974	108096	L5618
i1974_5930	i1974	108096	L5619
i1977_5931	i1977	108100	L5620
i1986_5932	i1986	108109	L5621
i1987_5933	i1987	108110	L5622
i1987_5934	i1987	108110	L5623
i1998_5935	i1998	108121	L5624
i2001_5936	i2001	108124	L5625
i2002_5937	i2002	108125	L5626
i2003_5938	i2003	108126	L5627
i2007_5939	i2007	108130	L5628
i2008_5940	i2008	108131	L5629
i2008_5941	i2008	108131	L5630
i2009_5942	i2009	108132	L5631
i2011_5943	i2011	108134	L5632
i2016_5944	i2016	108141	L5633
i2016_5945	i2016	108142	L5634
i2016_5946	i2016	108142	L5635
i2020_5947	i2020	108147	L5636
i2022_5948	i2022	108149	L5637
i2022_5949	i2022	108149	L5638
i2026_5950	i2026	108155	L5639
i2026_5951	i2026	108155	L5640
i2030_5953	i2030	108158	L5641
i2030_5954	i2030	108158	L5642
i2030_5955	i2030	108158	L5643
i2031_5956	i2031	108159	L5644
i2031_5957	i2031	108159	L5645
i2039_5959	i2039	108167	L5646
i2042_5960	i2042	108171	L5647
i2042_5961	i2042	108170	L5648
i2042_5962	i2042	108170	L5649
i2043_5963	i2043	108172	L5650
i2054_5964	i2054	108184	L5651
i2058_5965	i2058	108188	L5652
i2069_5966	i2069	108200	L5653
i2075_5967	i2075	108206	L5654
i2076_5968	i2076	108207	L5655
i2084_5969	i2084	108215	L5656
i2090_5970	i2090	108221	L5657
i2090_5971	i2090	108221	L5658
i2093_5973	i2093	108224	L5659
i2095_5974	i2095	108226	L5660
i2100_5975	i2100	108231	L5661
i2101_5976	i2101	108232	L5662
i2103_5977	i2103	108234	L5663
i2104_5978	i2104	108235	L5664
i2105_5979	i2105	108236	L5665
i2106_5980	i2106	108237	L5666
i2107_5981	i2107	108238	L5667
i2115_5982	i2115	108246	L5668
i2116_5983	i2116	108247	L5669
i2117_5984	i2117	108248	L5670
i2122_5985	i2122	108253	L5671
i2124_5986	i2124	108255	L5672
i2126_5987	i2126	108257	L5673
i2128_5988	i2128	108259	L5674
i2129_5989	i2129	108260	L5675
i2130_5990	i2130	108261	L5676
